Number	Food Name	Calorie	Serving Size	Company	Calorie Source	Categories
1	Apple	116	1 whole fruit (large)	NA	Calorie Count	Fruit
2	Banana	105	1 whole fruit (medium)	NA	Calorie Count	Fruit
3	Orange	62	1 whole fruit (medium)	NA	Calorie Count	Fruit
4	Orange Juice	112	1 cup	NA	Calorie Count	Fruit, Juice, Drink
5	Big Mac	550	1 burger	McDonald's	Calorie Count	Fast Food, Sandwich
6	Doritos Locos Taco	170	1 taco	Taco Bell	tacobell.com	Fast Food
7	Mountain Dew	165	12 oz	PepsiCo	Calorie Count	Soda, Drink
8	Pepsi	150	12 oz	PepsiCo	Calorie Count	Soda, Drink
9	Coke	146	12 oz	Coca-Cola	Calorie Count	Soda, Drink
10	Volcano Nachos	970	354 g	Taco Bell	tacobell.com	Fast Food
11	Fiesta Taco Salad-Beef	780	463 g	Taco Bell	tacobell.com	Fast Food
12	McCafe Strawberry Shake	550	12 oz	McDonald's	mcdonalds.com	Fast Food, Beverage, Dessert
13	Chicken McNuggets	470	10 pieces	McDonald's	mcdonalds.com	Fast Food
14	Baja Chili Salad	730	577 g	Wendy's	wendys.com	Fast Food
15	Baconator	970	1 burger	Wendy's	wendys.com	Fast Food, Sandwich
16	Caramel Frosty Shake	1000	Large (513 g)	Wendy's	wendys.com	Fast Food, Beverage, Dessert
17	Coffee	5	Grande (16 oz)	Starbucks	starbucks.com	Beverage
18	Caramel Frappuccino	410	Grande (16 oz)	Starbucks	starbucks.com	Beverage, Dessert
19	Feta Cheese	225	3 oz	NA	Lansky & Brownell 1982	Dairy
20	Roast Turkey	100	2 oz	NA	Lansky & Brownell 1982	Meat
21	Green Beans	34	4 oz	NA	Lansky & Brownell 1982	Vegetable
22	Boiled Ham	133	2 oz	NA	Lansky & Brownell 1982	Meat
23	Cooked Spaghetti	156	3 oz	NA	Lansky & Brownell 1982	Grains
24	Potato Chips	162	1 oz	NA	Lansky & Brownell 1982	Snack
25	Blueberries	56	3 oz	NA	Lansky & Brownell 1982	Fruit
26	Bread	63	1 slice (1 oz)	NA	Lansky & Brownell 1982	Grains
27	Celery	200	1425 g	NA	wisegeek.com	Vegetable
28	Mini Peppers	200	740 g	NA	wisegeek.com	Vegetable
29	Broccoli	200	588 g	NA	wisegeek.com	Vegetable
30	Baby Carrots	200	570 g	NA	wisegeek.com	Vegetable
31	Honeydew Melon	200	553 g	NA	wisegeek.com	Fruit
32	Coca Cola	200	496 ml	Coca-Cola	wisegeek.com	Soda, Drink
33	Red Onions	200	475 g	NA	wisegeek.com	Vegetable
34	Apples	200	385 g	NA	wisegeek.com	Fruit
